[1/4] Creating LuaState...
[2/4] Opening standard library...
[3/4] Loading source (parse + compile)...
[cg_emit_eq] e1=NonReloc info=23 e2=NonReloc info=24 r1=23 r2=24 freereg=25 nactvar=22 line=250
[cg_emit_eq] e1=NonReloc info=23 e2=NonReloc info=24 r1=23 r2=24 freereg=25 nactvar=22 line=254
[cg_emit_eq] e1=NonReloc info=23 e2=NonReloc info=24 r1=23 r2=24 freereg=25 nactvar=22 line=254
[cg_emit_eq] e1=NonReloc info=23 e2=NonReloc info=24 r1=23 r2=24 freereg=25 nactvar=22 line=254
[cg_emit_eq] e1=NonReloc info=23 e2=KInt info=0 r1=23 r2=130 freereg=24 nactvar=22 line=254
[cg_emit_eq] e1=NonReloc info=23 e2=NonReloc info=24 r1=23 r2=24 freereg=25 nactvar=22 line=258
[cg_emit_eq] e1=NonReloc info=23 e2=NonReloc info=24 r1=23 r2=24 freereg=25 nactvar=22 line=259
[cg_emit_eq] e1=NonReloc info=23 e2=NonReloc info=24 r1=23 r2=24 freereg=25 nactvar=22 line=259
[cg_emit_eq] e1=NonReloc info=23 e2=NonReloc info=24 r1=23 r2=24 freereg=25 nactvar=22 line=259
[cg_emit_eq] e1=NonReloc info=25 e2=NonReloc info=23 r1=25 r2=23 freereg=26 nactvar=24 line=287
[cg_emit_eq] e1=NonReloc info=25 e2=NonReloc info=26 r1=25 r2=26 freereg=27 nactvar=24 line=291
[cg_emit_eq] e1=NonReloc info=25 e2=NonReloc info=26 r1=25 r2=26 freereg=27 nactvar=24 line=292
[cg_emit_eq] e1=NonReloc info=25 e2=NonReloc info=26 r1=25 r2=26 freereg=27 nactvar=24 line=293
[cg_emit_eq] e1=NonReloc info=25 e2=NonReloc info=26 r1=25 r2=26 freereg=27 nactvar=24 line=294
[cg_emit_eq] e1=NonReloc info=25 e2=NonReloc info=26 r1=25 r2=26 freereg=27 nactvar=24 line=296
[cg_emit_eq] e1=NonReloc info=25 e2=NonReloc info=26 r1=25 r2=26 freereg=27 nactvar=24 line=299
[cg_emit_eq] e1=NonReloc info=29 e2=NonReloc info=31 r1=29 r2=31 freereg=32 nactvar=30 line=304
[cg_emit_eq] e1=NonReloc info=24 e2=KInt info=0 r1=24 r2=133 freereg=26 nactvar=25 line=305
[cg_emit_eq] e1=NonReloc info=26 e2=NonReloc info=27 r1=26 r2=27 freereg=28 nactvar=25 line=311
[cg_emit_eq] e1=NonReloc info=26 e2=NonReloc info=27 r1=26 r2=27 freereg=28 nactvar=25 line=311
[cg_emit_eq] e1=NonReloc info=26 e2=NonReloc info=27 r1=26 r2=27 freereg=28 nactvar=25 line=311
[cg_emit_eq] e1=NonReloc info=29 e2=NonReloc info=33 r1=29 r2=33 freereg=34 nactvar=30 line=315
[cg_emit_eq] e1=NonReloc info=26 e2=KInt info=0 r1=26 r2=127 freereg=27 nactvar=25 line=317
[cg_emit_eq] e1=NonReloc info=33 e2=NonReloc info=34 r1=33 r2=34 freereg=35 nactvar=31 line=324
[cg_emit_eq] e1=NonReloc info=24 e2=KInt info=0 r1=24 r2=130 freereg=26 nactvar=25 line=325
[cg_emit_eq] e1=NonReloc info=25 e2=KInt info=0 r1=25 r2=177 freereg=27 nactvar=26 line=333
[cg_emit_eq] e1=NonReloc info=25 e2=KInt info=0 r1=25 r2=159 freereg=27 nactvar=26 line=339
[cg_emit_eq] e1=NonReloc info=25 e2=KInt info=0 r1=25 r2=128 freereg=27 nactvar=26 line=346
[cg_emit_eq] e1=NonReloc info=25 e2=KInt info=0 r1=25 r2=127 freereg=27 nactvar=26 line=353
[cg_emit_eq] e1=NonReloc info=26 e2=NonReloc info=27 r1=26 r2=27 freereg=28 nactvar=25 line=359
[cg_emit_eq] e1=NonReloc info=26 e2=NonReloc info=27 r1=26 r2=27 freereg=28 nactvar=25 line=360
